112下,112256,BEPT10022,,普通物理學(二),General Physics (II),不限,83,M56-YX216[YM],2.00,2.00,黃宣誠,必修,(學士班大一大二不分系)
112下,112500,LSLS10025,,生命科學總論(下),"General Biology, 2nd semester",不限,52,T56-YK533[YM],2.00,2.00,李曉暉、羅清維、張欣暘、藍昇輝,必修,(學士班大一大二不分系)
112下,112501,LSLS10002,,化學原理(二),Principles of Chemistry II,不限,79,W56-YX216[YM],2.00,2.00,許世宜,必修,(學士班大一大二不分系)
112下,112502,LSLS10009,,微積分(二),Calculus II,不限,54,T34-YX406[YM],2.00,2.00,王禹超,必修,(學士班大一大二不分系)
112下,112503,LSLS10035,,遺傳學原理的實作與應用,Laboratory in Fundamental Genetics and its Applications,不限,48,F5678-YED109[YM],2.00,4.00,陳嘉霖、陳虹如、楊念中,必修,(學士班大一大二不分系)
112下,112504,LSLS10017,,物理學實驗,Physics Laboratory,不限,41,R234-YE003[YM],1.00,3.00,羅俊民,必修,(學士班大一大二不分系)
112下,112507,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,8,W34-YL402[YM],1.00,2.00,陳儀聰,必修,(學士班大一大二不分系)
112下,112508,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,孫維欣,必修,(學士班大一大二不分系)
112下,112509,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,8,W34-YL402[YM],1.00,2.00,藍昇輝,必修,(學士班大一大二不分系)
112下,112510,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,林崇智,必修,(學士班大一大二不分系)
112下,112511,LSLS10039,,"生涯發展與學習(一下)-基礎服務學習
基礎服務學習","Career Development and PreparationⅠ, 2nd Semester - Foundational Service Learning",不限,7,W34-YL402[YM],1.00,2.00,翁雨蕙,必修,(學士班大一大二不分系)
112下,112512,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,俞震亞,必修,(學士班大一大二不分系)
112下,112513,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,8,W34-YK101[YM],1.00,2.00,陳虹如,必修,(學士班大一大二不分系)
112下,112514,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,8,W34-YK101[YM],1.00,2.00,陳嘉霖,必修,(學士班大一大二不分系)
112下,112515,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,陳紀如,必修,(學士班大一大二不分系)
112下,112516,LSLS00006,,生涯發展與學習(二下),"Career Development and Preparation Ⅱ, 2nd Semester",不限,7,W34-YK101[YM],1.00,2.00,賈世璿,必修,(學士班大一大二不分系)
112下,112901,MDDC10008,,有機化學,Organic Chemistry,不限,96,M12F1-YX406[YM],3.00,3.00,蔡有光、王毓瑄、林照雄、廖韋晴,必修,(學士班大一大二不分系)
112下,131007,MDBI30060,,量化數據分析,Quantitative data analysis,不限,71,M34-YL401[YM],2.00,2.00,陳卓逸,必修,(學士班大一大二不分系)
112下,131009,MDBI30077,,抽象思考與演算法,Abstraction and Algorithms,不限,41,W78-YL401[YM],2.00,2.00,巫坤品,必修,(學士班大一大二不分系)
112下,133005,LSGS30017,,"生物統計學
英文授課",Introduction to Biostatistics,不限,38,T78-YT202[YM],2.00,2.00,可文亞,必修,(學士班大一大二不分系)
112下,133021,LSGS30018,,"生物統計學實習與Ｒ語言的運用
英文授課",Biostatistics in Practice using R Language,不限,10,T9-YT202[YM],1.00,1.00,可文亞,選修,(學士班大一大二不分系)
112下,563130,GEPE00001,,大一體育,Physical Education,不限,34,T12-PhE[YM],0.00,2.00,黃中興,必修,(學士班大一大二不分系)
112下,110002,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,7,W34-YT202[YM],1.00,2.00,劉文勝,必修,(醫學系)
112下,110003,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,8,W34-YT202[YM],1.00,2.00,楊令瑀,必修,(醫學系)
112下,110004,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,7,W34-YT202[YM],1.00,2.00,黃志賢,必修,(醫學系)
112下,110005,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,8,W34-YT202[YM],1.00,2.00,熊偉,必修,(醫學系)
112下,110006,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,8,W34-YT206[YM],1.00,2.00,吳芬芬,必修,(醫學系)
112下,110007,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,9,W34-YT206[YM],1.00,2.00,曾炳輝,必修,(醫學系)
112下,110008,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,6,W34-YT206[YM],1.00,2.00,范佩貞,必修,(醫學系)
112下,110009,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,7,W34-YT206[YM],1.00,2.00,黃駿豐,必修,(醫學系)
112下,110010,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,8,W34-YT206[YM],1.00,2.00,鄭涵方,必修,(醫學系)
112下,110011,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,8,W34-YT206[YM],1.00,2.00,張鴻猷,必修,(醫學系)
112下,110012,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,10,9,W34-YT202[YM],1.00,2.00,蔡明翰,必修,(醫學系)
112下,110013,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,10,7,W34-YT202[YM],1.00,2.00,陳信彰,必修,(醫學系)
112下,110014,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,不限,10,W34-YT206[YM],1.00,2.00,嵇達德,必修,(醫學系)
112下,110015,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,10,8,W34-YT206[YM],1.00,2.00,林秉熙,必修,(醫學系)
112下,110016,MDMD10034,,心靈成長(二),Spiritual Growth Ⅱ,10,9,W34-YT206[YM],1.00,2.00,謝瀛洲,必修,(醫學系)
112下,110017,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,11,W34-YX501[YM],1.00,2.00,葉添順,必修,(醫學系)
112下,110018,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,12,W34-YX501[YM],1.00,2.00,紀凱獻,必修,(醫學系)
112下,110019,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,13,W34-YX501[YM],1.00,2.00,王先逸,必修,(醫學系)
112下,110020,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,12,W34-YT104[YM],1.00,2.00,廖皎君,必修,(醫學系)
112下,110021,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,12,W34-YT104[YM],1.00,2.00,陳威儀,必修,(醫學系)
112下,110022,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,12,W34-YT104[YM],1.00,2.00,王琬菁,必修,(醫學系)
112下,110023,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,13,W34-YT104[YM],1.00,2.00,陳瀅州,必修,(醫學系)
112下,110024,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,12,W34-YT104[YM],1.00,2.00,簡千栩,必修,(醫學系)
112下,110025,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,10,W34-YT104[YM],1.00,2.00,黃宣穎,必修,(醫學系)
112下,110026,MDMD10035,,心靈成長(四),Spiritual Growth Ⅳ,不限,10,W34-YX501[YM],1.00,2.00,蒲正筠,必修,(醫學系)
